Category,Item Name,Description,Price,Badge
Pizza,Margherita Classic,Dünner Pizzateig mit Tomatensauce, frischem Mozzarella und Basilikum,14.50,Vegetarisch
Pasta,Tagliatelle al Salmone,Hausgemachte Tagliatelle mit Lachs in cremiger Zitronen-Dillsauce,22.90,Chef's Choice
Starter,Bruschetta Rustica,Geröstetes Bauernbrot mit Tomatenwürfeln, Knoblauch, Basilikum und Olivenöl,9.50,Vegetarisch
Starter,Caesar Salad,Knackiger Römersalat mit Croûtons, Parmesan und cremigem Caesar-Dressing,11.90,Klassiker
Soup,Kürbis-Ingwer-Suppe,Samtige Kürbissuppe mit frischem Ingwer und gerösteten Kernen,10.50,Vegan
Burger,Swiss Beef Burger,Rindfleisch-Patty mit Emmentaler, karamellisierten Zwiebeln und Haus-Sauce,23.50,Signature
Burger,Veggie Garden Burger,Gemüse-Patty mit Avocado, Tomate und veganer Mayo,21.00,Vegan
Pasta,Spaghetti Aglio e Olio,Spaghetti mit Knoblauch, Chili, Petersilie und Olivenöl,17.50,Vegan
Pizza,Diavola Piccante,Pizza mit scharfer Salami, Chili und Mozzarella,18.90,Scharf
Main Course,Zürcher Geschnetzeltes,Kalbfleisch in Rahmsauce mit Rösti,32.00,Hausklassiker
Main Course,Grilled Salmon,Gegrilltes Lachsfilet mit Zitronenbutter und saisonalem Gemüse,29.50,Glutenfrei
Main Course,Risotto ai Funghi,Cremiges Risotto mit gemischten Pilzen und Parmesan,24.00,Vegetarisch
Salad,Mediterraner Quinoasalat,Quinoa mit Gurke, Tomate, Feta, Oliven und Zitronen-Dressing,19.50,Leicht
Side,Rosmarin-Kartoffeln,Im Ofen geröstete Kartoffeln mit frischem Rosmarin und Meersalz,7.50,Vegan
Side,Grilled Vegetables,Gegrilltes saisonales Gemüse mit Kräuteröl,8.50,Vegan
Dessert,Tiramisu della Casa,Klassisches Tiramisu mit Mascarpone und Espresso,11.00,Klassiker
Dessert,Lauwarmer Schokokuchen,Schokoladenküchlein mit flüssigem Kern und Vanilleeis,12.50,Bestseller
Dessert,Panna Cotta al Limone,Zitronen-Panna-Cotta mit Beerencoulis,10.90,Glutenfrei
Drinks,Hausgemachte Limonade,Frische Zitronenlimonade mit Minze und wenig Zucker,6.50,Empfohlen
Drinks,Aperol Spritz,Aperitif mit Aperol, Prosecco und Soda auf Eis,11.50,Popular
Drinks,Espresso,Kräftiger Espresso aus frisch gemahlenen Bohnen,3.90,Kaffee
Kids,Kids Pasta Tomato,Penne mit milder Tomatensauce und geriebenem Käse,12.00,Kids
